Year,Month,Day,Status,Note
2013,3,18,presumed-blocked,
2013,3,19,presumed-blocked,
2013,3,20,presumed-blocked,
2013,3,21,blocked,
2013,3,22,presumed-blocked,
2013,3,23,presumed-blocked,
2013,3,24,blocked,
2013,3,25,blocked,
2013,3,26,presumed-blocked,
2013,3,27,presumed-blocked,
2013,3,28,blocked,
2013,3,29,presumed-blocked,
2013,3,30,presumed-blocked,
2013,3,31,presumed-blocked,
2013,4,1,blocked,
2013,4,2,presumed-blocked,
2013,4,3,presumed-blocked,
2013,4,4,presumed-blocked,
2013,4,5,blocked,
2013,4,6,presumed-blocked,
2013,4,7,presumed-blocked,
2013,4,8,presumed-blocked,
2013,4,9,blocked,
2013,4,10,presumed-blocked,
2013,4,11,presumed-blocked,
2013,4,12,presumed-blocked,
2013,4,13,presumed-blocked,
2013,4,14,blocked,
2013,4,15,presumed-blocked,
2013,4,16,presumed-blocked,
2013,4,17,presumed-blocked,
2013,4,18,presumed-blocked,
2013,4,19,blocked,
2013,4,20,presumed-blocked,
2013,4,21,presumed-blocked,
2013,4,22,presumed-blocked,
2013,4,23,presumed-blocked,
2013,4,24,blocked,
2013,4,25,presumed-blocked,
2013,4,26,presumed-blocked,
2013,4,27,presumed-blocked,
2013,4,28,presumed-blocked,
2013,4,29,presumed-blocked,
2013,4,30,presumed-blocked,
2013,5,1,presumed-blocked,
2013,5,2,presumed-blocked,
2013,5,3,presumed-blocked,
2013,5,4,presumed-blocked,
2013,5,5,presumed-blocked,
2013,5,6,presumed-blocked,
2013,5,7,blocked,
2013,5,8,presumed-blocked,
2013,5,9,presumed-blocked,
2013,5,10,presumed-blocked,
2013,5,11,presumed-blocked,
2013,5,12,presumed-blocked,
2013,5,13,presumed-blocked,
2013,5,14,presumed-blocked,
2013,5,15,presumed-blocked,
2013,5,16,presumed-blocked,
2013,5,17,presumed-blocked,
2013,5,18,presumed-blocked,
2013,5,19,presumed-blocked,
2013,5,20,presumed-blocked,
2013,5,21,presumed-blocked,
2013,5,22,presumed-blocked,
2013,5,23,presumed-blocked,
2013,5,24,blocked,
2013,5,25,presumed-blocked,
2013,5,26,presumed-blocked,
2013,5,27,presumed-blocked,
2013,5,28,presumed-blocked,
2013,5,29,presumed-blocked,
2013,5,30,presumed-blocked,
2013,5,31,presumed-blocked,
2013,6,1,presumed-blocked,
2013,6,2,presumed-blocked,
2013,6,3,presumed-blocked,
2013,6,4,presumed-blocked,
2013,6,5,presumed-blocked,
2013,6,6,blocked,
2013,6,7,presumed-blocked,
2013,6,8,presumed-blocked,
2013,6,9,presumed-blocked,
2013,6,10,presumed-blocked,
2013,6,11,presumed-blocked,
2013,6,12,presumed-blocked,
2013,6,13,presumed-blocked,
2013,6,14,presumed-blocked,
2013,6,15,presumed-blocked,
2013,6,16,presumed-blocked,
2013,6,17,presumed-blocked,
2013,6,18,presumed-blocked,
2013,6,19,blocked,
2013,6,20,presumed-blocked,
2013,6,21,presumed-blocked,
2013,6,22,presumed-blocked,
2013,6,23,presumed-blocked,
2013,6,24,presumed-blocked,
2013,6,25,presumed-blocked,
2013,6,26,presumed-blocked,
2013,6,27,presumed-blocked,
2013,6,28,presumed-blocked,
2013,6,29,presumed-blocked,
2013,6,30,presumed-blocked,
2013,7,1,presumed-blocked,
2013,7,2,presumed-blocked,
2013,7,3,presumed-blocked,
2013,7,4,presumed-blocked,
2013,7,5,presumed-blocked,
2013,7,6,presumed-blocked,
2013,7,7,presumed-blocked,
2013,7,8,presumed-blocked,
2013,7,9,presumed-blocked,
2013,7,10,presumed-blocked,
2013,7,11,presumed-blocked,
2013,7,12,presumed-blocked,
2013,7,13,presumed-blocked,
2013,7,14,blocked,
2013,7,15,no-data,
2013,7,16,no-data,
2013,7,17,no-data,
2013,7,18,no-data,
2013,7,19,no-data,
2013,7,20,no-data,
2013,7,21,no-data,
2013,7,22,no-data,
2013,7,23,no-data,
2013,7,24,no-data,
2013,7,25,no-data,"Bo is officially charged for bribery, abuse of power, and corruption. (Though Bo's name is technically now searchable, he is still a sensitive topic. Posts which are too supportive of him (e.g., ""Bo is a hero!"") or connect Bo's actions to deap-seated Communist Party corruption are often deleted. See Free Weibo for examples: https://freeweibo.com/en/weibo/薄熙来?censored"
2013,7,26,no-data,
2013,7,27,no-data,
2013,7,28,unblocked,
2013,7,29,presumed-unblocked,
2013,7,30,presumed-unblocked,
2013,7,31,presumed-unblocked,
2013,8,1,unblocked,
2013,8,2,presumed-unblocked,
2013,8,3,presumed-unblocked,
2013,8,4,presumed-unblocked,
2013,8,5,unblocked,
2013,8,6,presumed-unblocked,
2013,8,7,presumed-unblocked,
2013,8,8,presumed-unblocked,
2013,8,9,unblocked,
2013,8,10,presumed-unblocked,
2013,8,11,presumed-unblocked,
2013,8,12,presumed-unblocked,
2013,8,13,unblocked,
2013,8,14,presumed-unblocked,
2013,8,15,presumed-unblocked,
2013,8,16,unblocked,
2013,8,17,presumed-unblocked,
2013,8,18,presumed-unblocked,
2013,8,19,presumed-unblocked,
2013,8,20,presumed-unblocked,
2013,8,21,presumed-unblocked,
2013,8,22,presumed-unblocked,
2013,8,23,presumed-unblocked,
2013,8,24,presumed-unblocked,
2013,8,25,presumed-unblocked,
2013,8,26,presumed-unblocked,Bo's trial ends.
2013,8,27,presumed-unblocked,
2013,8,28,presumed-unblocked,
2013,8,29,presumed-unblocked,
2013,8,30,presumed-unblocked,
2013,8,31,unblocked,
2013,9,1,presumed-unblocked,
2013,9,2,presumed-unblocked,
2013,9,3,presumed-unblocked,
2013,9,4,presumed-unblocked,
2013,9,5,presumed-unblocked,
2013,9,6,presumed-unblocked,
2013,9,7,presumed-unblocked,
2013,9,8,presumed-unblocked,
2013,9,9,presumed-unblocked,
2013,9,10,presumed-unblocked,
2013,9,11,presumed-unblocked,
2013,9,12,presumed-unblocked,
2013,9,13,presumed-unblocked,
2013,9,14,presumed-unblocked,
2013,9,15,presumed-unblocked,
2013,9,16,unblocked,
2013,9,17,presumed-unblocked,
2013,9,18,presumed-unblocked,
2013,9,19,presumed-unblocked,
2013,9,20,presumed-unblocked,
2013,9,21,presumed-unblocked,
2013,9,22,unblocked,"Bo is found guilty of bribery, abuse of power, and corruption, and is issued a life sentence."
2013,9,23,presumed-unblocked,
2013,9,24,presumed-unblocked,
2013,9,25,presumed-unblocked,
2013,9,26,presumed-unblocked,
2013,9,27,presumed-unblocked,
2013,9,28,unblocked,
2013,9,29,presumed-unblocked,
2013,9,30,presumed-unblocked,
2013,10,1,presumed-unblocked,
2013,10,2,presumed-unblocked,
2013,10,3,unblocked,
2013,10,4,presumed-unblocked,
2013,10,5,presumed-unblocked,
2013,10,6,presumed-unblocked,
2013,10,7,presumed-unblocked,
2013,10,8,presumed-unblocked,
2013,10,9,presumed-unblocked,
2013,10,10,presumed-unblocked,
2013,10,11,presumed-unblocked,
2013,10,12,presumed-unblocked,
2013,10,13,presumed-unblocked,
2013,10,14,presumed-unblocked,
2013,10,15,presumed-unblocked,
2013,10,16,presumed-unblocked,
2013,10,17,presumed-unblocked,
2013,10,18,presumed-unblocked,
2013,10,19,presumed-unblocked,
2013,10,20,presumed-unblocked,
2013,10,21,presumed-unblocked,
2013,10,22,presumed-unblocked,
2013,10,23,presumed-unblocked,
2013,10,24,presumed-unblocked,
2013,10,25,presumed-unblocked,The Shandong Higher People's Court rejects Bo's final appeal and upholds his conviction.
2013,10,26,presumed-unblocked,
2013,10,27,presumed-unblocked,
2013,10,28,presumed-unblocked,
2013,10,29,presumed-unblocked,
2013,10,30,presumed-unblocked,
2013,10,31,presumed-unblocked,
2013,11,1,presumed-unblocked,
2013,11,2,presumed-unblocked,
2013,11,3,presumed-unblocked,
2013,11,4,presumed-unblocked,
2013,11,5,presumed-unblocked,
2013,11,6,unblocked,
